phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
10,15,25,18386,900145,918531,0.001446,0.033753,0.035199
9,12,21,3441,14835,18276,0.000331,0.000754,0.001085
10,13,23,89310,20755,110065,0.005643,0.000967,0.006610
11,15,26,91145,4216145,4307290,0.005312,0.152865,0.158177
10,14,24,7447,135322,142769,0.000647,0.005484,0.006131
9,15,24,1138,1986632,1987770,0.000108,0.075589,0.075697
10,14,24,54616,1704891,1759507,0.003779,0.062989,0.066768
9,14,23,6564,675036,681600,0.000572,0.027518,0.028090
10,13,23,11392,12256,23648,0.000874,0.000659,0.001533
9,14,23,16221,13173,29394,0.001148,0.001006,0.002154
10,13,23,29423,74086,103509,0.002190,0.003921,0.006111
10,14,24,24479,99962,124441,0.001842,0.004739,0.006581
9,13,22,5216,111399,116615,0.000414,0.004474,0.004888
10,14,24,8607,329810,338417,0.000755,0.013105,0.013860
9,13,22,8469,19703,28172,0.000666,0.001063,0.001729
10,16,26,39792,3553006,3592798,0.002804,0.135693,0.138497
10,12,22,72277,36065,108342,0.004459,0.001810,0.006269
9,16,25,7262,4587825,4595087,0.000536,0.160437,0.160973
10,14,24,30851,184609,215460,0.002201,0.007261,0.009462
10,14,24,43187,1864970,1908157,0.003170,0.059790,0.062960
10,12,22,11907,2449,14356,0.001005,0.000201,0.001206
8,15,23,637,948585,949222,0.000067,0.040275,0.040342
9,14,23,2041,977218,979259,0.000211,0.034460,0.034671
10,13,23,17102,147379,164481,0.001409,0.005557,0.006966
10,15,25,24137,896689,920826,0.001711,0.036855,0.038566
9,12,21,3091,105027,108118,0.000350,0.005201,0.005551
10,15,25,8960,796243,805203,0.000734,0.029625,0.030359
10,14,24,44542,355402,399944,0.002591,0.014297,0.016888
9,15,24,12979,466410,479389,0.001010,0.018057,0.019067
11,14,25,92860,1301422,1394282,0.006148,0.043762,0.049910
9,13,22,828,213800,214628,0.000113,0.008440,0.008553
10,14,24,16097,107969,124066,0.001236,0.005723,0.006959
8,14,22,1756,1805692,1807448,0.000165,0.062393,0.062558
10,13,23,39927,279837,319764,0.002981,0.010525,0.013506
8,16,24,248,2308890,2309138,0.000023,0.088239,0.088262
10,15,25,42105,689288,731393,0.003034,0.027877,0.030911
10,15,25,20815,571145,591960,0.001638,0.021773,0.023411
9,14,23,3388,296091,299479,0.000329,0.011297,0.011626
9,14,23,3913,328832,332745,0.000383,0.012882,0.013265
10,15,25,13103,3437408,3450511,0.001023,0.125040,0.126063
10,14,24,14807,197330,212137,0.001201,0.007516,0.008717
9,16,25,9525,1877298,1886823,0.000725,0.073898,0.074623
9,15,24,9667,1086174,1095841,0.000816,0.040946,0.041762
7,15,22,206,682210,682416,0.000020,0.036210,0.036230
9,15,24,2604,516742,519346,0.000251,0.027517,0.027768
9,15,24,1587,1848936,1850523,0.000166,0.066648,0.066814
10,15,25,15304,1953322,1968626,0.001208,0.070700,0.071908
10,14,24,16910,392574,409484,0.001408,0.015058,0.016466
10,15,25,10163,1524947,1535110,0.000825,0.053897,0.054722
10,15,25,47360,1019046,1066406,0.003452,0.039958,0.043410
10,15,25,33571,10981683,11015254,0.002514,0.372125,0.374639
10,15,25,19162,213554,232716,0.001600,0.009251,0.010851
10,15,25,16306,1242725,1259031,0.001255,0.054159,0.055414
9,14,23,6125,100096,106221,0.000595,0.004193,0.004788
10,16,26,21677,3925590,3947267,0.001767,0.149254,0.151021
10,14,24,18269,223549,241818,0.001306,0.008923,0.010229
