phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,13,22,20070,22881,42951,0.001413,0.001457,0.002870
10,16,26,14976,5530864,5545840,0.001151,0.226534,0.227685
11,15,26,94190,895792,989982,0.006429,0.036797,0.043226
10,15,25,20300,782039,802339,0.001558,0.031638,0.033196
8,15,23,1400,609968,611368,0.000159,0.028758,0.028917
9,14,23,9870,470588,480458,0.000871,0.019846,0.020717
10,13,23,13428,51263,64691,0.001075,0.002615,0.003690
10,16,26,18885,1822931,1841816,0.001503,0.086883,0.088386
9,14,23,1153,1180580,1181733,0.000140,0.050669,0.050809
9,13,22,6572,96580,103152,0.000653,0.004550,0.005203
10,13,23,28829,167979,196808,0.002302,0.007521,0.009823
10,12,22,24771,31533,56304,0.002167,0.001691,0.003858
9,15,24,3421,1200810,1204231,0.000259,0.053515,0.053774
9,14,23,973,206400,207373,0.000102,0.009517,0.009619
10,14,24,7884,2779555,2787439,0.000659,0.111575,0.112234
9,15,24,10780,589390,600170,0.000891,0.026592,0.027483
9,14,23,10662,441057,451719,0.000681,0.019233,0.019914
10,14,24,5189,969815,975004,0.000477,0.040456,0.040933
9,15,24,879,378932,379811,0.000091,0.016377,0.016468
9,15,24,8300,7999000,8007300,0.000578,0.327315,0.327893
9,13,22,2002,89887,91889,0.000231,0.004533,0.004764
9,12,21,6958,42787,49745,0.000549,0.001841,0.002390
10,14,24,22803,726658,749461,0.001731,0.028959,0.030690
10,13,23,44126,581695,625821,0.003264,0.022275,0.025539
9,14,23,4431,654096,658527,0.000387,0.026742,0.027129
10,15,25,13783,3340995,3354778,0.001160,0.136206,0.137366
10,13,23,17800,14252,32052,0.001521,0.000937,0.002458
10,14,24,37062,121568,158630,0.002584,0.005319,0.007903
9,15,24,685,649626,650311,0.000062,0.027386,0.027448
9,12,21,12409,38816,51225,0.001082,0.001761,0.002843
10,15,25,24506,636738,661244,0.001777,0.028812,0.030589
10,12,22,7957,93531,101488,0.000743,0.004172,0.004915
10,13,23,43111,267347,310458,0.003146,0.010931,0.014077
10,14,24,21775,504019,525794,0.001602,0.019196,0.020798
10,13,23,24459,6885,31344,0.001809,0.000321,0.002130
10,14,24,34120,611526,645646,0.002393,0.027724,0.030117
9,12,21,2064,2549,4613,0.000189,0.000208,0.000397
9,15,24,2446,5341513,5343959,0.000209,0.206050,0.206259
10,15,25,33036,1430644,1463680,0.002502,0.055800,0.058302
10,14,24,14836,744821,759657,0.001241,0.027524,0.028765
9,14,23,6807,596855,603662,0.000568,0.025604,0.026172
9,14,23,1207,254288,255495,0.000149,0.011340,0.011489
10,14,24,37752,14570,52322,0.002855,0.001299,0.004154
9,14,23,12151,215694,227845,0.000870,0.009800,0.010670
9,15,24,9803,239146,248949,0.000784,0.012521,0.013305
10,13,23,6598,431750,438348,0.000560,0.015095,0.015655
10,15,25,36228,1685923,1722151,0.002879,0.079164,0.082043
9,14,23,2433,4506055,4508488,0.000231,0.146773,0.147004
10,14,24,17059,504729,521788,0.001381,0.022379,0.023760
11,14,25,97700,503967,601667,0.006347,0.020203,0.026550
9,14,23,2536,335001,337537,0.000240,0.015054,0.015294
9,15,24,7876,2580054,2587930,0.000680,0.093669,0.094349
9,11,20,8428,6816,15244,0.000694,0.000460,0.001154
9,14,23,7933,1355197,1363130,0.000782,0.047623,0.048405
9,12,21,12548,10051,22599,0.001030,0.000516,0.001546
10,14,24,20095,664052,684147,0.001799,0.026499,0.028298
10,13,23,8451,154043,162494,0.000796,0.005863,0.006659
8,14,22,487,1525078,1525565,0.000059,0.055918,0.055977
10,14,24,21560,339771,361331,0.001677,0.014476,0.016153
9,13,22,6877,106158,113035,0.000528,0.004311,0.004839
10,15,25,48601,5066226,5114827,0.003319,0.186275,0.189594
9,13,22,10866,62337,73203,0.000857,0.002490,0.003347
9,14,23,4226,604343,608569,0.000380,0.027907,0.028287
8,14,22,1593,336538,338131,0.000158,0.014946,0.015104
10,13,23,11328,325354,336682,0.000971,0.013098,0.014069
11,13,24,129307,163954,293261,0.009334,0.006934,0.016268
10,15,25,11874,363657,375531,0.001034,0.019783,0.020817
10,15,25,8114,2966764,2974878,0.000762,0.127194,0.127956
10,14,24,14392,886816,901208,0.001262,0.030217,0.031479
9,13,22,9895,145310,155205,0.000743,0.005561,0.006304
9,15,24,1714,1595012,1596726,0.000170,0.068868,0.069038
10,13,23,36137,96343,132480,0.002705,0.004526,0.007231
10,14,24,13526,423519,437045,0.001031,0.016851,0.017882
9,13,22,4064,119814,123878,0.000396,0.004764,0.005160
10,15,25,35190,766932,802122,0.002667,0.029120,0.031787
9,14,23,2863,1007446,1010309,0.000290,0.040246,0.040536
9,15,24,18243,3124866,3143109,0.001322,0.118857,0.120179
10,14,24,52798,325316,378114,0.003898,0.013280,0.017178
9,14,23,5321,283611,288932,0.000571,0.012528,0.013099
10,13,23,51134,114222,165356,0.003639,0.005214,0.008853
10,14,24,20965,2147274,2168239,0.001477,0.080080,0.081557
9,13,22,3757,1920,5677,0.000474,0.000203,0.000677
10,15,25,44310,327695,372005,0.002449,0.015107,0.017556
9,16,25,2196,3083206,3085402,0.000221,0.131032,0.131253
9,13,22,1256,515618,516874,0.000159,0.020036,0.020195
8,15,23,837,980319,981156,0.000102,0.040576,0.040678
8,13,21,784,3238,4022,0.000114,0.000240,0.000354
9,14,23,2336,334937,337273,0.000242,0.011981,0.012223
9,13,22,4589,146530,151119,0.000413,0.006449,0.006862
10,14,24,15543,647540,663083,0.001291,0.027416,0.028707
8,14,22,1505,129877,131382,0.000154,0.006638,0.006792
9,15,24,6383,352370,358753,0.000534,0.015545,0.016079
9,14,23,2743,1162224,1164967,0.000271,0.043844,0.044115
9,13,22,9545,307957,317502,0.000844,0.012158,0.013002
10,15,25,38490,1602589,1641079,0.002934,0.061191,0.064125
10,12,22,23259,16716,39975,0.001867,0.000855,0.002722
10,15,25,57456,240787,298243,0.004323,0.010630,0.014953
10,9,19,31093,1197,32290,0.002119,0.000081,0.002200
10,13,23,51795,27326,79121,0.003477,0.002168,0.005645
7,15,22,158,532692,532850,0.000009,0.024462,0.024471
10,13,23,131111,442948,574059,0.008274,0.016086,0.024360
10,13,23,36626,11631,48257,0.002498,0.000709,0.003207
10,12,22,18770,24585,43355,0.001326,0.001333,0.002659
10,13,23,84151,314741,398892,0.005753,0.012243,0.017996
10,15,25,33337,372002,405339,0.002252,0.016779,0.019031
10,13,23,16658,647917,664575,0.001292,0.023926,0.025218
10,15,25,11114,1076914,1088028,0.000852,0.049602,0.050454
9,14,23,6904,103633,110537,0.000622,0.004873,0.005495
10,13,23,14481,58415,72896,0.001109,0.002522,0.003631
9,14,23,4421,12938,17359,0.000343,0.000961,0.001304
9,12,21,11974,240913,252887,0.000921,0.009097,0.010018
8,15,23,273,4700880,4701153,0.000027,0.195580,0.195607
9,13,22,9602,56468,66070,0.000777,0.002473,0.003250
10,13,23,28577,32376,60953,0.002070,0.001461,0.003531
10,13,23,20783,149775,170558,0.001481,0.005840,0.007321
10,13,23,43523,131055,174578,0.002808,0.005362,0.008170
11,14,25,103078,117650,220728,0.006552,0.004909,0.011461
10,14,24,26884,331322,358206,0.001885,0.012889,0.014774
9,15,24,5949,1994774,2000723,0.000508,0.071250,0.071758
10,14,24,17446,387989,405435,0.001445,0.015046,0.016491
10,13,23,41884,81268,123152,0.003233,0.004052,0.007285
9,12,21,3567,25414,28981,0.000288,0.001319,0.001607
10,13,23,35181,26425,61606,0.002590,0.001516,0.004106
10,13,23,16232,160763,176995,0.001207,0.006762,0.007969
