phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
8,13,21,304,217508,217812,0.000017,0.005410,0.005427
9,14,23,1089,323674,324763,0.000061,0.007493,0.007554
9,14,23,5477,1761608,1767085,0.000278,0.041617,0.041895
9,14,23,5375,306403,311778,0.000280,0.007603,0.007883
9,15,24,2711,462048,464759,0.000143,0.010393,0.010536
10,14,24,24203,710909,735112,0.001133,0.017602,0.018735
9,13,22,5069,14016,19085,0.000287,0.000557,0.000844
8,15,23,851,217118,217969,0.000046,0.005888,0.005934
9,14,23,6750,2434230,2440980,0.000358,0.064905,0.065263
10,15,25,31027,3834673,3865700,0.001613,0.096080,0.097693
10,14,24,17861,697329,715190,0.000914,0.017144,0.018058
10,14,24,23305,173419,196724,0.001197,0.004343,0.005540
9,14,23,7760,477167,484927,0.000395,0.011732,0.012127
10,14,24,20297,278253,298550,0.000981,0.006809,0.007790
9,13,22,949,155679,156628,0.000054,0.004264,0.004318
9,15,24,1988,3942982,3944970,0.000105,0.097433,0.097538
11,12,23,134066,113714,247780,0.006195,0.003084,0.009279
10,14,24,41006,243514,284520,0.001900,0.006784,0.008684
9,16,25,6055,1714304,1720359,0.000343,0.056078,0.056421
9,15,24,2242,205965,208207,0.000145,0.006633,0.006778
10,14,24,40912,135379,176291,0.001997,0.004234,0.006231
10,15,25,13476,1765702,1779178,0.000801,0.055719,0.056520
10,15,25,13709,737540,751249,0.000828,0.024305,0.025133
10,13,23,24927,360730,385657,0.001465,0.011887,0.013352
10,16,26,9066,4339939,4349005,0.000663,0.125001,0.125664
9,15,24,2930,1871897,1874827,0.000153,0.045130,0.045283
9,14,23,6173,671486,677659,0.000313,0.016172,0.016485
9,14,23,3472,3060439,3063911,0.000177,0.074001,0.074178
10,13,23,64381,42541,106922,0.003016,0.001423,0.004439
10,16,26,25306,4478068,4503374,0.001178,0.115766,0.116944
9,13,22,2976,95788,98764,0.000165,0.002182,0.002347
9,15,24,9871,2491144,2501015,0.000459,0.056070,0.056529
10,15,25,40516,1261011,1301527,0.001819,0.031722,0.033541
9,14,23,5870,135652,141522,0.000365,0.003719,0.004084
9,15,24,5989,3250208,3256197,0.000351,0.099553,0.099904
10,16,26,23818,3892387,3916205,0.001308,0.109400,0.110708
9,14,23,14287,51619,65906,0.000831,0.001884,0.002715
9,14,23,3802,468000,471802,0.000233,0.014174,0.014407
9,14,23,5500,271092,276592,0.000396,0.008464,0.008860
10,11,21,19371,7119,26490,0.001084,0.000265,0.001349
10,15,25,90343,1918545,2008888,0.004069,0.058169,0.062238
9,13,22,4900,135409,140309,0.000302,0.004152,0.004454
9,15,24,5126,709628,714754,0.000279,0.019611,0.019890
10,14,24,16037,2222499,2238536,0.000828,0.065012,0.065840
9,14,23,5678,156870,162548,0.000325,0.004734,0.005059
10,14,24,36223,147223,183446,0.002017,0.005540,0.007557
10,14,24,30369,155166,185535,0.001486,0.004933,0.006419
9,14,23,10518,236926,247444,0.000521,0.007729,0.008250
8,15,23,169,1078809,1078978,0.000008,0.033228,0.033236
10,16,26,14396,16776946,16791342,0.000808,0.457467,0.458275
10,15,25,32774,935264,968038,0.001793,0.025790,0.027583
9,16,25,7044,9211196,9218240,0.000322,0.250525,0.250847
9,14,23,2408,235339,237747,0.000132,0.005450,0.005582
9,14,23,6369,20251,26620,0.000317,0.000739,0.001056
10,15,25,23930,358750,382680,0.000996,0.008939,0.009935
9,13,22,1557,303654,305211,0.000076,0.006986,0.007062
9,13,22,2870,118400,121270,0.000147,0.002810,0.002957
10,14,24,7136,258553,265689,0.000371,0.005914,0.006285
10,14,24,46379,134767,181146,0.001963,0.003463,0.005426
9,14,23,3717,99052,102769,0.000191,0.002662,0.002853
9,14,23,4116,177528,181644,0.000205,0.004850,0.005055
9,14,23,4530,1873650,1878180,0.000249,0.045035,0.045284
10,15,25,6469,1025804,1032273,0.000344,0.025108,0.025452
10,14,24,45409,94509,139918,0.002150,0.002623,0.004773
10,14,24,26818,178336,205154,0.001162,0.005029,0.006191
10,13,23,13055,120398,133453,0.000691,0.003784,0.004475
8,14,22,2591,42792,45383,0.000137,0.001617,0.001754
9,14,23,1411,248254,249665,0.000082,0.007076,0.007158
10,14,24,26489,229240,255729,0.001334,0.006757,0.008091
10,16,26,61491,15857115,15918606,0.002904,0.364429,0.367333
10,15,25,48377,926655,975032,0.002326,0.030320,0.032646
9,15,24,643,159654,160297,0.000042,0.005155,0.005197
9,15,24,2433,965329,967762,0.000149,0.026929,0.027078
10,15,25,14688,1951675,1966363,0.000815,0.047408,0.048223
10,14,24,16274,25566,41840,0.000729,0.000879,0.001608
10,14,24,23499,97895,121394,0.001064,0.002682,0.003746
10,16,26,27206,1632878,1660084,0.001207,0.039360,0.040567
10,15,25,7214,4397835,4405049,0.000371,0.103587,0.103958
9,12,21,8566,42005,50571,0.000449,0.001057,0.001506
9,16,25,6440,4113097,4119537,0.000310,0.098995,0.099305
10,13,23,14599,6621,21220,0.000697,0.000204,0.000901
10,13,23,45238,14568,59806,0.001926,0.000640,0.002566
8,15,23,603,498610,499213,0.000026,0.012885,0.012911
10,14,24,11562,89364,100926,0.000571,0.002494,0.003065
10,15,25,17841,2859755,2877596,0.000834,0.066354,0.067188
11,14,25,140656,147857,288513,0.004902,0.003622,0.008524
10,16,26,11724,6043507,6055231,0.000495,0.130765,0.131260
9,15,24,6721,578300,585021,0.000292,0.013722,0.014014
10,16,26,13653,6646693,6660346,0.000668,0.196721,0.197389
9,15,24,2815,193265,196080,0.000160,0.005210,0.005370
9,14,23,2122,417156,419278,0.000118,0.010736,0.010854
8,14,22,1017,567371,568388,0.000055,0.013782,0.013837
9,13,22,6951,215167,222118,0.000295,0.005163,0.005458
9,14,23,6236,888731,894967,0.000315,0.020955,0.021270
10,13,23,17284,40099,57383,0.000873,0.000962,0.001835
9,14,23,1143,439541,440684,0.000059,0.010790,0.010849
10,15,25,8013,350568,358581,0.000415,0.009104,0.009519
10,12,22,21405,982,22387,0.001093,0.000047,0.001140
9,14,23,3964,1064340,1068304,0.000205,0.025596,0.025801
10,14,24,17594,485298,502892,0.000839,0.011144,0.011983
10,14,24,18362,2633936,2652298,0.000764,0.059766,0.060530
9,15,24,2947,425920,428867,0.000132,0.009869,0.010001
9,14,23,572,50074,50646,0.000030,0.001227,0.001257
9,15,24,3423,1166708,1170131,0.000170,0.029586,0.029756
10,14,24,38968,2794109,2833077,0.001858,0.069277,0.071135
10,15,25,10193,4069456,4079649,0.000516,0.099917,0.100433
9,14,23,10206,308917,319123,0.000531,0.007925,0.008456
9,14,23,3675,270932,274607,0.000205,0.006604,0.006809
10,12,22,56467,120003,176470,0.002788,0.003848,0.006636
9,15,24,5966,2141540,2147506,0.000359,0.059504,0.059863
10,15,25,67540,221744,289284,0.003447,0.006757,0.010204
9,13,22,11898,319545,331443,0.000563,0.008309,0.008872
10,15,25,13069,3511024,3524093,0.000692,0.087554,0.088246
10,14,24,12991,321050,334041,0.000647,0.008161,0.008808
8,13,21,2215,358350,360565,0.000123,0.009147,0.009270
9,14,23,1660,2408109,2409769,0.000098,0.062002,0.062100
9,16,25,3204,4579491,4582695,0.000207,0.126279,0.126486
10,15,25,14063,864125,878188,0.000731,0.023446,0.024177
10,13,23,20374,449745,470119,0.001032,0.011099,0.012131
