phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
10,14,24,19645,845886,865531,0.000812,0.014689,0.015501
10,14,24,17141,478614,495755,0.000655,0.009765,0.010420
10,14,24,14851,449556,464407,0.000659,0.009228,0.009887
10,14,24,57559,2787156,2844715,0.002688,0.051296,0.053984
10,15,25,20635,3409031,3429666,0.000921,0.059814,0.060735
10,13,23,13638,90909,104547,0.000612,0.001594,0.002206
10,14,24,18701,273900,292601,0.000751,0.005013,0.005764
10,15,25,15472,1970537,1986009,0.000677,0.034218,0.034895
9,14,23,8052,361393,369445,0.000341,0.007463,0.007804
9,13,22,5245,88923,94168,0.000219,0.002154,0.002373
10,12,22,29838,17714,47552,0.001186,0.000336,0.001522
9,12,21,13532,5046,18578,0.000525,0.000126,0.000651
10,14,24,24677,686512,711189,0.001007,0.013837,0.014844
10,11,21,4858,607,5465,0.000232,0.000024,0.000256
10,15,25,10445,1604646,1615091,0.000440,0.035555,0.035995
10,14,24,45134,972429,1017563,0.002088,0.020514,0.022602
9,15,24,11157,3856362,3867519,0.000533,0.069292,0.069825
9,14,23,4428,4846620,4851048,0.000206,0.081734,0.081940
9,12,21,633,22388,23021,0.000035,0.000410,0.000445
10,14,24,48312,301582,349894,0.001968,0.005656,0.007624
9,10,19,7006,2443,9449,0.000271,0.000054,0.000325
10,14,24,6419,816345,822764,0.000266,0.013595,0.013861
10,15,25,54153,336307,390460,0.001823,0.006697,0.008520
10,16,26,96715,3785829,3882544,0.003438,0.071865,0.075303
9,15,24,4374,1436907,1441281,0.000203,0.028041,0.028244
10,15,25,31995,3041398,3073393,0.001284,0.054226,0.055510
9,13,22,4788,343847,348635,0.000236,0.006355,0.006591
9,14,23,18541,258718,277259,0.000764,0.004744,0.005508
10,13,23,23267,77987,101254,0.000782,0.001510,0.002292
10,13,23,29960,99165,129125,0.001031,0.001897,0.002928
9,15,24,19011,575599,594610,0.000683,0.012512,0.013195
8,14,22,1143,471012,472155,0.000058,0.010133,0.010191
9,15,24,8873,504574,513447,0.000369,0.009713,0.010082
10,14,24,15554,553004,568558,0.000657,0.009472,0.010129
9,15,24,2115,8219847,8221962,0.000105,0.149739,0.149844
9,15,24,12870,1049926,1062796,0.000575,0.021211,0.021786
9,14,23,1947,69654,71601,0.000108,0.001354,0.001462
9,15,24,7181,910081,917262,0.000341,0.017874,0.018215
8,13,21,641,149691,150332,0.000037,0.002815,0.002852
9,14,23,2256,623534,625790,0.000123,0.011683,0.011806
10,14,24,33900,124953,158853,0.001280,0.002557,0.003837
10,15,25,15313,1398702,1414015,0.000625,0.026613,0.027238
10,14,24,13372,1674951,1688323,0.000582,0.031595,0.032177
10,15,25,21092,1641279,1662371,0.001006,0.031304,0.032310
10,14,24,20983,905105,926088,0.000896,0.017083,0.017979
9,14,23,4298,247572,251870,0.000207,0.004819,0.005026
9,11,20,7359,9455,16814,0.000353,0.000178,0.000531
10,13,23,23456,118428,141884,0.001040,0.004078,0.005118
10,14,24,36824,371174,407998,0.001993,0.007133,0.009126
9,13,22,11078,8997,20075,0.000483,0.000216,0.000699
10,13,23,27990,308780,336770,0.001118,0.006050,0.007168
11,14,25,80138,1587182,1667320,0.002775,0.030165,0.032940
10,14,24,53575,156063,209638,0.002034,0.003303,0.005337
9,14,23,11572,243504,255076,0.000461,0.004861,0.005322
10,13,23,35598,59369,94967,0.001440,0.001438,0.002878
9,16,25,863,3184288,3185151,0.000040,0.075419,0.075459
9,15,24,8824,254218,263042,0.000431,0.007075,0.007506
9,11,20,18682,10039,28721,0.000903,0.000264,0.001167
10,14,24,10213,54018,64231,0.000529,0.001520,0.002049
10,13,23,22104,125341,147445,0.000990,0.003357,0.004347
10,14,24,32403,1158844,1191247,0.001513,0.031390,0.032903
8,13,21,578,73287,73865,0.000040,0.002006,0.002046
9,13,22,2723,32954,35677,0.000167,0.001098,0.001265
9,13,22,12217,80876,93093,0.000664,0.002277,0.002941
10,13,23,47243,519554,566797,0.002315,0.015355,0.017670
9,15,24,7205,957821,965026,0.000505,0.026964,0.027469
9,14,23,14237,5696800,5711037,0.000732,0.102757,0.103489
10,15,25,15238,1799727,1814965,0.000647,0.032838,0.033485
9,15,24,2233,1966345,1968578,0.000127,0.035763,0.035890
